PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
213783_BK,10681.0,177067.6541
218586_GD,266.0,2191.9237
221630_HM,1611.0,11901.044
216233_SV,705.0,7729.9691
226393_BU,335.0,2730.9159
222224_BK,3214.0,54092.4271
220147_BK,8267.0,155378.4494
222240_BG,4353.0,79269.1641
212823_CL,5044.0,84076.2394
213082_BK,6015.0,16560.4247
221026_IV,4186.0,29168.337
221096_SV,4018.0,29207.1184
226696_MI,17.0,118.7102
220924_WT,1438.0,11510.678
218674_GN,4112.0,18410.3556
223687_BK,1119.0,6362.3497
221982_BK,3.0,138.8532
223622_BK,6161.0,175332.7335
226871_GD,1869.0,10622.3763
226876_BG,15.0,1071.4955
222392_EC,121.0,2386.7198
220614_BM,2367.0,20655.8805
209441_SW,7347.0,142865.7554
219433_CA,5572.0,153931.8289
224516_SV,177.0,900.6671
211110_HM,2128.0,20820.8601
220076_EC,6376.0,178830.3603
221915NC,4288.0,104761.9777
219027_HM,6051.0,33039.7848
218273_CL,3980.0,53674.0877
211662_HM,5482.0,26830.9509
218622_GD,3836.0,86850.9841
166363_PU,18824.0,215491.1502
222837_GD,980.0,30802.8173
211500_BM,5920.0,143067.6579
219782_GY,3468.0,104067.3771
224864_SA,31.0,1236.9562
219102_WT,2785.0,63656.7681
217547_SV,2558.0,73874.0158
209344_GD,4269.0,43800.8781
223304_TQ,669.0,5335.0995
224636_BK,3032.0,20188.1028
220916_GD,10515.0,59256.2648
211704_GN,655.0,20894.1604
220017_WT,1401.0,31817.0783
209974_CA,5545.0,86397.5896
210802_BK,3223.0,85526.2571
222656_BG,1556.0,48429.9224
1937090HM,6014.0,30697.2482
215999_WT,359.0,10588.3629
222875_GN,800.0,28074.4709
195325_FU,22726.0,459225.2453
223404_YL,73.0,2226.4568
226509_GD,318.0,5545.7468
211770_DM,1133.0,7673.9504
215031_DP,4427.0,51307.4784
210639_BK,10013.0,207513.0289
225234_BK,57.0,1180.0207
220968_BM,1051.0,34540.575
213807_HM,2109.0,8901.2517
217377_SV,5607.0,31106.7602
224661_GD,2598.0,26686.0322
219365_BG,1789.0,47991.7507
209263_GD,10656.0,58261.4377
215411_GN,3854.0,110812.7834
218166_BL,243.0,8677.8488
212351_BK,10441.0,253674.5148
214656_BM,308.0,7680.868
215473_BM,6244.0,68786.3849
227455_BK,91.0,2509.0897
222526_GN,5486.0,153901.2573
226759_BU,199.0,6684.6833
224402_HM,1447.0,9177.21
210916_EC,373.0,10924.9984
223929_BK,2403.0,65292.2679
217478_PK,2897.0,82701.4932
214092_KK,194.0,5267.4714
222871_BN,1259.0,67372.3396
217240_YL,1276.0,36532.911
209656_BG,4735.0,135130.1322
221361_KK,90.0,2763.7216
215674_AN,9385.0,221375.0276
224894_BK,45.0,1872.2706
214041_BM,4808.0,26074.0381
219757_LB,2183.0,20607.0093
